Company,Position,Submit Date,OA,Status,Address,Referral Code,Details,Job Code
Tiktok,Software Engineer Intern (Monetization Technology) - 2026 Summer (BS/MS),2025-10-21,Medium Pass,Rejected,https://lifeattiktok.com/position/application,5WUAZ1QP,Need to state clearly with the start date and end date,A87936
,Software Engineer Intern (TikTok-Open Platform) - 2026 Summer(BS/MS),2025-10-21,Medium Pass,OA,https://lifeattiktok.com/position/application,5WUAZ1QP,Front End,A175467A
Tencent (CA),IT Application Developer (AI-Driven IT Ops) Intern,2025-10-23,None,Submitted,https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/userHome,None,,R106286
Amazon,Software Development Engineer Internship - Winter- 2026 (US),2025-10-23,None,Rejected,https://www.amazon.jobs/en/jobs/3101249/software-development-engineer-internship-winter-2026-us,YES,Winter Internship,3101249
,Software Development Engineer Internship - Summer 2026 (US) ,2025-11-14,None,Referred,https://www.amazon.jobs/en/jobs/3101249/software-development-engineer-internship-winter-2026-us,YES,Summer,job ID 3116030
Meta,"Software Engineer, Intern/Co-op",2025-10-24,None,Reaching out referral,https://www.metacareers.com/profile/application/1494004971810661/,None,,
,"Software Engineer, Infrastructure",2025-10-24,None,Reaching out referral,https://www.metacareers.com/profile/application/1494004971810661/,None,,
IMC,SDE Intern,2025-10-25,High Pass,Rejected,https://imc.candidate.fyi/home?isFollowUpsOpen=false&followUpId=&stageIndex=0&applicationId=a7f6d206-fd85-4387-94d0-4c4c2233f7c5,None,"Got OA, but the position is met",
Akuna,"Software Engineer Intern - Full Stack Web, Summer 2026",2025-10-25,Medium Pass,Rejected,https://akunacapital.com/job-details?gh_jid=7060087&gh_src=na6axmxj1us&grnh.se=b664da131us,None,,
Randa Apparel & Accessories,Software Engineer Internship - Summer 2026,2025-11-2,None,Submitted,https://workforcenow.adp.com/mascsr/applicant/mdf/recruitment/postLogin.html?cid=4583e43c-c0b5-42d9-ae01-059f09dd5450&ccId=19000101_000001&lang=en_US&jobId=554952&rb=LinkedIn&jobId=554952&requisitionId=9201329995102_1&params=jobId&OTP_login=true,None,,
Netflix," Software Engineer (L4), Content & Business Products",2025-11-9,None,Submitted,https://explore.jobs.netflix.net/careers/job/790312348360?microsite=netflix.com,None,Applied for 2 positions but got my expected graduate date wrong,
,"Software Engineer (L4) - Member, Commerce & Games Engineering",2025-11-9,None,Submitted,,None,,
Public Sapient,SDE INTERN,2025-11-9,None,Referred,https://careers.publicissapient.com/job-details/2025-124495-software-engineer-intern--class-of-2027--chicago?mode=apply&iis=LinkedIn+Apply,YES,NO SPONSORSHIP FOR FULL,
Honeywell,Systems Engineering - Summer 2026 Intern,2025-11-3,None,Submitted,https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/my-profile,None,,
Stripe,"Software Engineer, Intern (Summer and Winter)",2025-11-8,High Pass,Interview,https://stripe.com/jobs/listing/software-engineer-intern-summer-and-winter/7210115/apply?gh_src=73vnei,None,"OA 525/1000
Team Screen 12.1 Tech ✅
Virtual Onsite 12.16 2hrs ",
Jack Henry,Systems Engineering - Summer 2026 Intern,2025-11-4,None,Rejected,https://jackhenry.avature.net/careers/Profile,None,,
Valsoft,Full Stack Developer Intern,2025-11-5,None,Submitted,https://apply.workable.com/valsoft-corp/j/6F0FDC6043/,None,,
Anduril,Software Engineer Intern,2025-11-5,None,Rejected,https://job-boards.greenhouse.io/andurilindustries/jobs/4830901007,None,"Military system, high requirement in identity",
McDonald,Software Engineer I C# role,2025-11-8,None,Submitted,,None,,2429
,Software Engineer I- iOS role,2025-11-9,None,Submitted,,None,, (Job Req ID: 2022)
Dropbox,Software Engineer,2025-11-9,None,Referred,,YES,,
Google,"Software Engineering Intern, 2026 - Singapore",2025-11-10,None,Referred,https://www.google.com/about/careers/applications/dashboard,YES,Internship -  Singapore,
,"Software Engineer II, Site Reliability - United States",2025-11-10,None,Referred,,YES,,
,"Partner Engineer, Gemini - Sunnyvale",2025-11-10,None,Referred,,YES,,
Doordash,"Software Engineer I, Entry-Level (Graduation Date: Fall 2025-Summer 2026)",2025-11-9,None,Submitted,https://my.greenhouse.io/dashboard,NO,,
Github,Software Engineering Intern,2025-11-9,None,Submitted,https://careers-githubinc.icims.com/jobs/4640/software-engineering-intern/job?mode=submit_apply,NO,,
Notion,Software Engineer Intern (Summer 2026),2025-11-9,None,Submitted,https://jobs.ashbyhq.com/notion/23ac2477-0008-4bed-b1c1-81f90a32e9e6/application?source=LinkedIn,NO,,
"Arcesium LLC
",Software Engineer Intern,2025-11-9,None,Rejected,https://my.greenhouse.io/dashboard,NO,,
Old Mission,College Graduates - Full-Time - Junior Software Engineer (2026),2025-11-9,None,Rejected,https://my.greenhouse.io/dashboard,NO,,
"Optiver
",Graduate Software Engineer (2026 Start - Chicago),2025-11-9,Medium Pass,Rejected,https://my.greenhouse.io/applications/18529135,NO,,
Pinterest,Software Engineer Intern 2026 — Remote (US),2025-11-9,None,Rejected,https://my.greenhouse.io/applications/18529135,NO,,
Microsoft,"Software Engineer: Frontend Intern Opportunities for University Students, Redmond",2025-11-9,None,Referred,https://jobs.careers.microsoft.com/actioncenter/submitted,YES,"lztong uchi google account;
LinkedIn profile also submitted",
,"Software Engineer: Fullstack Intern Opportunities for University Students, Redmond",2025-11-11,None,Referred,https://jobs.careers.microsoft.com/actioncenter/submitted,YES,,1860947
Oracle,Undergrad Software Engineer Intern - IoT Platform & Software Development,2025-11-9,None,Rejected,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/my-profile,NO,"Visa sponsorship is not available for this role.
Current Undegrad",
Salesforce,Summer 2026 Intern - Software Engineer,2025-11-11,None,Reaching out referral,https://salesforce.wd12.myworkdayjobs.com/en-US/Futureforce_Internships/userHome,NO,"
Slack Group",JR308796
Bandwidth,Software Development Intern (Identity) - Summer 2026,2025-11-11,None,Rejected,https://my.greenhouse.io/applications/18826806,NO,,
,Software Development Intern (Messaging) - Summer 2026,2025-11-11,None,Submitted,https://my.greenhouse.io/applications/18826806,NO,,
,"Software Development Intern - Summer 2026 
",2025-11-11,None,Submitted,https://www.linkedin.com/jobs/view/4321806303/?refId=971076f5-2648-4b5b-9285-9660dc9c6c87&trackingId=nNWpHOs%2BT3GMvcF6R3zygg%3D%3D,NO,,
Nintendo,"Intern - Software Engineer, Analytics (NTD)",2025-11-11,None,Submitted,https://nintendo.taleo.net/careersection/10000/mysubmissions.ftl?lang=en,NO,password: Lztong021029@,
Geneva,Intern - Python Developer,2025-11-11,None,Rejected,https://my.greenhouse.io/dashboard,NO,,
Figma,Software Engineer Intern (2026),2025-11-11,I feel good,Rejected,https://my.greenhouse.io/dashboard,NO,Keep an eye on their next season recruiting,
MangoDB,"2026 - Software Engineering Intern, AMER",2025-11-11,None,Rejected,https://my.greenhouse.io/dashboard,NO,,
Palantir Technologies,"Software Engineer, Internship",2025-11-12,None,Submitted,https://jobs.lever.co/palantir/2fb19022-bb65-4af8-b6fa-31beb345c140/thanks,NO,"Submitted two, but first one wrong with the disability signature year",
Lyft,Data Engineer Internship,2025-11-13,None,Referred,https://app.careerpuck.com/job-board/lyft/job/8218030002/,YES,,
,Software Engineer Internship - mobile,2026-1-15,High Pass,Offered,,YES,,
Blue Shield of California,2026 Summer Data Full Stack Engineer Internship,2025-11-17,None,Submitted,https://ecge.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003/my-profile,NO,,
Bloomberg Industry Group,Engineering Intern,2025-11-17,None,Rejected,https://bloomberg.wd1.myworkdayjobs.com/en-US/Bloombergindustrygroup_External_Career_Site/userHome,NO,,
BorgWarner Company Logo,Software Development Intern（year round）,2025-11-17,None,Submitted,https://borgwarner.wd5.myworkdayjobs.com/BorgWarner_Careers/login,NO,Require for bachelor student,
Merge,Software Engineer Intern,2025-11-18,None,Submitted,https://my.greenhouse.io/applications/19773493,NO,,
ZipRecruiter,Software Engineer - Intern,2025-11-18,Low Pass,Rejected,https://my.greenhouse.io/applications/19775250,NO,"575/1000
lvl3 NF; lvl4 Not start",
Cohere,Software Engineer Intern (Winter 2026),2025-11-18,None,Submitted,Did not have any link pointed to applictaion status,NO,,
,Software Engineer Intern (Spring 2026),2026-1-15,None,Submitted,None,NO,,
Datadog,Software Engineering Intern (Summer),2025-11-18,None,Rejected,https://my.greenhouse.io/applications/19773493,NO,,
SeatGeek,Software Engineer - New Grad,2025-11-18,None,Rejected,Did not have any link pointed to applictaion status,NO,,
,Software Engineer - Internship ,2025-12-17,None,Submitted,Did not have any link pointed to applictaion status,No,,
Benchling,"Software Engineer, Intern (Summer 2026) ",2025-11-18,None,Submitted,https://my.greenhouse.io/applications/19773493,NO,,
Waymo,"2026 Summer Intern, MS, Software Engineer, Quantitative",2025-11-18,None,Reaching out referral,Just wait for the email,NO,,
Disney,"
Software Engineering Intern, Summer 2026",2025-11-20,None,Rejected,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/userHome,NO,,
Rivian ,"
Software Engineering Intern, Summer 2026",2025-11-20,None,Submitted,https://us-careers-rivian.icims.com/jobs/dashboard,NO,,
